question,answer
What is the capital of France?,Paris
What is the capital of Germany?,Berlin
Who wrote 'To Kill a Mockingbird'?,Harper-Lee
What is the largest planet in our solar system?,Jupiter
What is the boiling point of water in Celsius?,100
Who painted the Mona Lisa?,Leonardo-da-Vinci
What is the square root of 64?,8
What is the chemical symbol for gold?,Au
Which year did World War II end?,1945
What is the longest river in the world?,Nile
What is the capital of Japan?,Tokyo
Who developed the theory of relativity?,Albert-Einstein
What is the freezing point of water in Fahrenheit?,32
Which planet is known as the Red Planet?,Mars
Who is the author of '1984'?,George-Orwell
What is the currency of the United Kingdom?,Pound
What is the capital of India?,Delhi
Who discovered gravity?,Newton
How many continents are there on Earth?,7
Which gas do plants use for photosynthesis?,CO2
What is the smallest prime number?,2
Who invented the telephone?,Alexander-Graham-Bell
What is the capital of Australia?,Canberra
Which ocean is the largest?,Pacific-Ocean
What is the speed of light in vacuum?,"299,792,458m/s"
Which language is spoken in Brazil?,Portuguese
Who discovered penicillin?,Alexander-Fleming
What is the capital of Canada?,Ottawa
What is the largest mammal on Earth?,Whale
Which element has the atomic number 1?,Hydrogen
What is the tallest mountain in the world?,Everest
Which city is known as the Big Apple?,NewYork
How many planets are in the Solar System?,8
Who painted 'Starry Night'?,vangogh
What is the chemical formula of water?,H2O
What is the capital of Italy?,Rome
Which country is famous for sushi?,Japan
Who was the first person to step on the Moon?,Armstrong
What is the main ingredient in guacamole?,Avocado
How many sides does a hexagon have?,6
What is the currency of China?,Yuan
Who wrote 'Pride and Prejudice'?,Jane-Austen
What is the chemical symbol for iron?,Fe
What is the hardest natural substance on Earth?,Diamond
Which continent is the largest by area?,Asia
Who was the first President of the United States?,George-Washington
Which bird is known for its ability to mimic sounds?,Parrot
What is the longest-running animated TV show?,Simpsons
What is the smallest country in the world?,VaticanCity
Which planet has the most moons?,Saturn
Who wrote 'Romeo and Juliet'?,Shakespeare
What is the main gas in Earth's atmosphere?,Nitrogen
How many bones are in the adult human body?,206
Which metal is a liquid at room temperature?,Mercury
What is the capital of Russia?,Moscow
Who discovered electricity?,Benjamin-Franklin
Which is the second-largest country by land area?,Canada
What is the color of a ripe banana?,Yellow
Which month has 28 days in a common year?,February
What is the study of living organisms called?,Biology
Which country is home to the Great Wall?,China
What do bees collect from flowers?,Nectar
What is the opposite of 'day'?,Night
What is the capital of South Korea?,Seoul
Who invented the light bulb?,Edison
Which gas do humans breathe in for survival?,Oxygen
What is the square root of 144?,12
Which country has the pyramids of Giza?,Egypt
Which sea creature has eight arms?,Octopus
Which holiday is celebrated on December 25?,Christmas
What is the currency of Japan?,Yen
How many legs does a spider have?,8
"Which sport uses a net, ball, and hoop?",Basketball
Which country is famous for its kangaroos?,Australia
Who was the first female Prime Minister of the UK?,MargaretThatcher
Which is the fastest land animal?,Cheetah
What is the first element on the periodic table?,Hydrogen
What is the capital of Spain?,Madrid
Which planet is the closest to the Sun?,Mercury
Who is known as the father of computers?,CharlesBabbage
What is the capital of Mexico?,MexicoCity
How many colors are in a rainbow?,7
Which musical instrument has black and white keys?,Piano
Who discovered the Americas in 1492?,ChristopherColumbus
Which Disney character has a long nose and grows it when lying?,Pinocchio
Who directed the movie 'Titanic'?,JamesCameron
Which superhero is also known as the Dark Knight?,Batman
What is the capital of Brazil?,Brasilia
Which fruit is known as the king of fruits?,Mango
Which country is known for the Eiffel Tower?,France